Time;Car linear displacement;Car angular displacement;Engine linear displacement;Driver linear displacement;Rear linear displacement;Front linear displacement;Car linear velocity;Car angular velocity;Engine linear velocity;Driver linear velocity;Rear linear velocity;Front linear velocity;Car linear acceleration;Car angular acceleration;Engine linear acceleration;Driver linear acceleration;Rear linear acceleration;Front linear acceleration;Car equivalente force;Car equivalente torque;Engine equivalente force;Driver equivalente force;Rear equivalente force;Front equivalente force
0.43;0.008266968;-0.09327868;0.034957325;-0.000821113;0.012789228;-0.005676925;0.859778617;3.483433284;-0.175772791;1.469063051;-0.463016814;0.901170027;-19.06863318;28.97299568;-28.70677445;3.286175151;-7.116195439;-5.752091949;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
0.44;0.015977785;-0.057538565;0.032298119;0.013318294;0.007953725;0.003076895;0.68238481;3.665105354;-0.356068495;1.358818462;-0.504083813;0.849593954;-16.41012822;9.035577282;-7.3523664;-25.33509301;-1.097204263;-4.563122612;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.45;0.022150331;-0.021062167;0.028182174;0.02510086;0.003039079;0.011285649;0.552124495;3.631007688;-0.467120418;0.997694648;-0.478845425;0.792156791;-9.641934785;-14.81480564;-14.85801825;-46.88966966;6.144881788;-6.924310074;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.46;0.02710221;0.013972418;0.023121709;0.03275366;-0.00136963;0.018678692;0.438251171;3.376641841;-0.544972538;0.532865324;-0.402896321;0.686451814;-13.13273;-35.95641662;-0.712405678;-46.07619526;9.04493911;-14.21668535;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
0.47;0.030571226;0.045496371;0.017543831;0.036272648;-0.005060358;0.024590757;0.255552089;2.928460885;-0.570603114;0.170932369;-0.335249321;0.49596134;-23.40708631;-54.16030521;-4.413709627;-26.31039557;4.48446083;-23.88140953;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.48;0.03179872;0.071710483;0.011370975;0.037154312;-0.008273161;0.028227728;-0.010053281;2.314189262;-0.663968106;0.00540038;-0.307311234;0.231432827;-29.71398772;-69.04348565;-14.25928873;-6.796002334;1.103156578;-29.02429293;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.49;0.030244414;0.091213113;0.004299647;0.036916266;-0.011204665;0.029176209;-0.300807953;1.585880572;-0.750297504;-0.053009577;-0.278989693;-0.041736601;-28.43694678;-76.25101973;-3.006590928;-4.885989102;4.561151627;-25.60959263;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
0.5;0.026024557;0.103252081;-0.00338297;0.035727388;-0.013624297;0.027698468;-0.543163464;0.821493279;-0.786225781;-0.184766114;-0.204936655;-0.25381166;-20.03415541;-75.46060487;-4.179064352;-21.46531825;10.24945603;-16.80541935;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.51;0.019805967;0.10783817;-0.011050569;0.032317658;-0.015127244;0.024505117;-0.700554564;0.095549842;-0.74729405;-0.497179893;-0.095652679;-0.384858612;-11.44406448;-68.16177914;11.96541055;-41.01743748;11.60733916;-9.40397102;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.52;0.012400335;0.105527001;-0.017753011;0.02520052;-0.015568776;0.020240579;-0.780571707;-0.557702951;-0.593194426;-0.926247696;0.007346229;-0.468048885;-4.559364167;-61.01770541;18.85451415;-44.79612316;8.992442385;-7.234083607;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
