Time;Engine mount deformation;Seat deformation;Rear deformation;Front deformation;Rear tire deformation;Front tire deformation;Engine mount deformation velocity;Seat deformation velocity;Rear deformation velocity;Front deformation velocity;Rear tire deformation velocity;Front tire deformation velocity;Engine mount deformation acceleration;Seat deformation acceleration;Rear deformation acceleration;Front deformation acceleration;Rear tire deformation acceleration;Front tire deformation acceleration;;;;;;
0.72;6.39E-05;-0.001384676;-0.053038742;-0.022621884;-0.017476518;-0.001714999;-0.038721853;0.134502568;0.012853801;1.154053819;0.100879224;0.373410333;9.733645151;29.40137937;19.18439401;-4.875806415;5.858788768;-3.139769115;0;0;0;0;0;0
0.73;4.18E-05;0.000740816;-0.052059307;-0.011526654;-0.01622139;0.001689371;0.034313406;0.29059349;0.183052343;1.064968286;0.150146487;0.307463643;4.868323693;1.818231815;14.84390027;-12.92703262;3.994663937;-10.04956886;0;0;0;0;0;0
0.74;0.000166374;0.002971694;-0.049650514;-0.001756896;-0.014640527;0.004139605;-0.009394787;0.15557935;0.298728058;0.888955802;0.166026093;0.182583185;-13.63437709;-28.81420646;8.23641643;-22.20693128;-0.818742842;-14.92652266;0;0;0;0;0;0
0.75;-1.90E-05;0.003075544;-0.046177613;0.005930407;-0.01303343;0.005268426;-0.027677319;-0.134810902;0.395864834;0.648489055;0.155393276;0.043180994;9.937821572;-29.25260206;11.1010038;-25.77399944;-1.307820504;-12.95391558;0;0;0;0;0;0
0.76;-5.56E-06;0.000832518;-0.041743555;0.011125692;-0.011415997;0.005242435;0.030366115;-0.313793898;0.49094364;0.390571676;0.168093388;-0.048379257;1.628251698;-6.532035544;7.81906354;-25.68985908;3.847842838;-5.358134716;0;0;0;0;0;0
0.77;0.000148113;-0.001959416;-0.036507047;0.013856495;-0.009507023;0.00463795;0.000363396;-0.244591313;0.556345126;0.155605093;0.213701378;-0.072517706;-7.657517385;20.3806149;5.196735499;-21.22283495;5.273755258;0.530444938;0;0;0;0;0;0
0.78;8.61E-05;-0.003074104;-0.030611058;0.014520253;-0.007175061;0.00394516;-0.012778578;0.021655297;0.622839883;-0.022837494;0.252690965;-0.066040274;5.017419332;32.87199226;8.075935019;-14.43283136;2.52416208;0.765041468;0;0;0;0;0;0
0.79;1.28E-05;-0.001609396;-0.02406137;0.013638496;-0.004609539;0.003219996;-0.001881932;0.271287323;0.687089519;-0.153503528;0.260413418;-0.078992547;-2.837844649;17.05434405;4.774543586;-11.70106455;-0.979671488;-3.355496023;0;0;0;0;0;0
0.8;-1.97E-05;0.001185749;-0.017132954;0.011490824;-0.002157185;0.002151152;-0.004611467;0.287741743;0.698592327;-0.276029247;0.23005756;-0.13477619;2.298875249;-13.76540757;-2.458403102;-12.82355286;-5.09150001;-7.80123258;0;0;0;0;0;0
0.81;2.99E-06;0.002900227;-0.010434641;0.008065906;-0.00018343;0.000410218;0.009148973;0.055153103;0.641076283;-0.408961932;0.164693281;-0.213410683;0.461348889;-32.75460425;-9.026534951;-13.78582278;-7.981355772;-7.925666043;0;0;0;0;0;0
0.82;-3.71E-05;0.0020881;-0.004521788;0.003369498;0.001105409;-0.001973759;-0.017153248;-0.217579734;0.541504729;-0.530332795;0.093074571;-0.263384626;-5.717215849;-21.79324804;-10.8774971;-10.50119826;-6.342386252;-2.069122581;0;0;0;0;0;0
0.83;-8.72E-05;-0.000419495;0.000352363;-0.002279799;0.001847604;-0.004509007;0.007130185;-0.283940415;0.43333461;-0.5995378;0.055364402;-0.243665083;10.57325265;8.521294315;-10.75798597;-3.337978334;-1.199647581;6.013031214;0;0;0;0;0;0
0.84;0.000102717;-0.002344529;0.004069459;-0.008264062;0.002362728;-0.006559519;0.030852083;-0.101066726;0.310086951;-0.597317979;0.047660478;-0.1664372;-5.832033419;28.05433069;-13.89864297;3.79081393;-0.341137315;9.432545486;0;0;0;0;0;0
0.85;6.30E-05;-0.001994639;0.006556141;-0.013895251;0.002726159;-0.007833667;-0.038806455;0.171045406;0.187244804;-0.528913906;0.025025683;-0.088392427;-8.100440624;26.36831082;-10.6715075;9.892151848;-4.1858216;6.176409039;0;0;0;0;0;0
0.86;-0.000139811;0.000472126;0.007916963;-0.018669016;0.002726169;-0.008547992;-0.001749655;0.322308227;0.084913488;-0.425831474;-0.025023588;-0.054472652;15.51528746;3.883274547;-9.786925556;10.71454679;-5.824032524;0.607545868;0;0;0;0;0;0
0.87;2.73E-05;0.003115654;0.008051341;-0.02251594;0.00214109;-0.009158942;0.035164533;0.206398038;-0.05804247;-0.343547615;-0.091992258;-0.067717298;-8.125175167;-27.06735432;-18.78792979;5.721804791;-7.569701507;-3.256475004;0;0;0;0;0;0
0.88;2.01E-05;0.003713013;0.006578127;-0.0257055;0.000822771;-0.009973011;-0.036590642;-0.086925965;-0.236601942;-0.294362459;-0.171671636;-0.095096445;-6.216340117;-31.6001186;-16.90258685;4.088504264;-8.366174077;-2.219354318;0;0;0;0;0;0
0.89;-0.000126598;0.001888005;0.003514665;-0.028388579;-0.001155634;-0.010876872;0.007242584;-0.278075867;-0.376088725;-0.242255442;-0.224009403;-0.085675899;14.99150001;-6.63225172;-10.97564936;6.308998763;-2.101379477;4.10346354;0;0;0;0;0;0
0.9;9.56E-05;-0.000590527;-0.000829214;-0.03043991;-0.003370837;-0.011403752;0.037198704;-0.217631134;-0.492683125;-0.168015687;-0.219031049;-0.019700079;-8.993931008;18.71941722;-12.32898205;8.521141576;3.09705041;9.091700336;0;0;0;0;0;0
0.91;0.00014633;-0.001548397;-0.00620216;-0.03160813;-0.005442367;-0.011184558;-0.027050386;0.026056534;-0.581901055;-0.065634637;-0.195274983;0.063538981;-3.852899053;30.01727756;-5.50789428;11.94668103;1.654162828;7.556111789;0;0;0;0;0;0
0.92;-3.88E-06;-9.63E-05;-0.012137125;-0.031675431;-0.007352836;-0.010319868;-0.002989704;0.264369177;-0.605089632;0.052171724;-0.186818791;0.109399021;8.663847344;17.64558464;0.867510807;11.61792645;0.037075509;1.615896224;0;0;0;0;0;0
0.93;4.19E-05;0.002663195;-0.018223495;-0.030738091;-0.009250006;-0.009299372;0.012142182;0.287523581;-0.612186473;0.135298823;-0.192615245;0.094700063;-5.640192611;-13.01393967;-2.292992651;5.015135159;-1.196366258;-4.555687831;0;0;0;0;0;0
0.94;6.94E-05;0.00441604;-0.024454837;-0.029293757;-0.011266874;-0.008637275;-0.00664905;0.063045773;-0.63408578;0.153572921;-0.21075839;0.037719317;1.880464196;-31.88120593;-2.090196456;-1.356155684;-2.432262741;-6.840461371;0;0;0;0;0;0
0.95;5.48E-05;0.003692597;-0.030807784;-0.027889528;-0.013426206;-0.008509757;0.003727304;-0.207733904;-0.636507034;0.127277235;-0.221108059;-0.01221567;0.195300948;-22.27486818;1.607055682;-3.90436908;0.362328792;-3.146536016;0;0;0;0;0;0
0.96;6.35E-05;0.001215789;-0.03698775;-0.026777389;-0.015477389;-0.00863254;-0.001988429;-0.287627495;-0.599487863;0.095152405;-0.189128443;-0.012340889;-1.336780459;6.295682073;5.80052214;-2.525276356;6.033594581;3.121492029;0;0;0;0;0;0
0.97;0.000145748;-0.000801284;-0.042609878;-0.02588025;-0.01700499;-0.008534495;0.018445551;-0.115787196;-0.524937502;0.084275198;-0.11639178;0.031949761;5.425242849;28.07190984;9.113291974;0.345157412;8.513737967;5.736638113;0;0;0;0;0;0
0.98;0.000226521;-0.000629482;-0.047342039;-0.024988916;-0.017823095;-0.008020318;-0.00229022;0.15014749;-0.421493205;0.09398977;-0.047229233;0.070885805;-9.571739765;25.11484292;11.57704353;1.595911909;5.318771462;2.050570603;0;0;0;0;0;0
